Id,FirstName,LastName,DateOfBirth,Nationality,Role,YearsOfExperience,PhotoUrl,Biography,PreferredFormation,CoachingStyle,TeamId
91,José,Mel Pérez,1960-01-01,Spanish,Head Coach,15,,José Mel Pérez was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
92,Luis,Lucas Alcaraz González,1960-01-01,Spanish,Head Coach,15,,Luis Lucas Alcaraz González was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
93,Francisco,Herrera Lorenzo,1960-01-01,Spanish,Head Coach,15,,Francisco Herrera Lorenzo was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
94,Juan,Eduardo Esnáider Belén,1960-01-01,Spanish,Head Coach,15,,Juan Eduardo Esnáider Belén was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
95,Constantin,Gâlcă,1960-01-01,Spanish,Head Coach,15,,Constantin Gâlcă was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
96,Juan,Merino Ruíz,1960-01-01,Spanish,Head Coach,15,,Juan Merino Ruíz was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
97,José,Ramón Sandoval Huertas,1960-01-01,Spanish,Head Coach,15,,José Ramón Sandoval Huertas was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
98,Ricardo,"Miguel Moreira da Costa, José Manuel González López",1960-01-01,Spanish,Head Coach,15,,"Ricardo Miguel Moreira da Costa, José Manuel González López was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
99,Carlos,"Gurpegi Nausia, Ernesto Valverde Tejedor",1960-01-01,Spanish,Head Coach,15,,"Carlos Gurpegi Nausia, Ernesto Valverde Tejedor was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
100,José,Manuel González López,1960-01-01,Spanish,Head Coach,15,,José Manuel González López was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
101,Gary,Neville,1960-01-01,Spanish,Head Coach,15,,Gary Neville was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
102,"",Coach,1960-01-01,Spanish,Head Coach,15,,Coach was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
103,Daniele,"Bonera, Marcelino García Toral",1960-01-01,Spanish,Head Coach,15,,"Daniele Bonera, Marcelino García Toral was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
104,Rafael,Benítez Maudes,1960-01-01,Spanish,Head Coach,15,,Rafael Benítez Maudes was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
105,Nuno,Herlander Simões Espírito Santo,1960-01-01,Spanish,Head Coach,15,,Nuno Herlander Simões Espírito Santo was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
106,David,Moyes,1960-01-01,Spanish,Head Coach,15,,David Moyes was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.,4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
107,Diego,"Mainz García, José Ramón Sandoval Huertas",1960-01-01,Spanish,Head Coach,15,,"Diego Mainz García, José Ramón Sandoval Huertas was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
108,Tiago,"Cardoso Mendes, Diego Pablo Simeone",1960-01-01,Spanish,Head Coach,15,,"Tiago Cardoso Mendes, Diego Pablo Simeone was a football manager who coached in La Liga during the 2015-2021 period. Known for tactical discipline and team organization.",4-4-2,Tactical flexibility with emphasis on team organization and maximizing player potential.,
